Total_Pop_2009,Total_Pop_2014,Total_Pop_2019,Total_Pop_2024,GEOID
25347.0,25100.0,24627.0,24420.0,45001
59616.0,62031.0,62457.0,56955.0,22001
38522.0,33165.0,32673.0,33335.0,51001
368791.0,409239.0,456849.0,518935.0,16001
7555.0,7543.0,7085.0,7460.0,19001
17872.0,19032.0,19222.0,19089.0,21001
24801.0,25642.0,25369.0,25301.0,29001
21822.0,22380.0,22220.0,19575.0,40001
419439.0,461558.0,504108.0,530225.0,08001
3520.0,3908.0,4097.0,4744.0,16003
66892.0,67113.0,66085.0,64754.0,17001
33955.0,34533.0,35376.0,36227.0,18001
4072.0,3937.0,3670.0,3622.0,19003
31475.0,32189.0,31266.0,28803.0,28001
33024.0,31396.0,31587.0,31052.0,31001
2291.0,2339.0,2311.0,2145.0,38001
28142.0,28342.0,27776.0,27540.0,39001
101011.0,101566.0,102470.0,106115.0,42001
17029.0,18951.0,19594.0,20800.0,53001
20400.0,20604.0,20094.0,21123.0,55001
36659.0,36883.0,36882.0,37664.0,50001
152647.0,162991.0,168301.0,174160.0,45003
15871.0,15964.0,15834.0,16056.0,27001
238990.0,251759.0,265443.0,285492.0,12001
144769.0,153713.0,163324.0,176893.0,37001
1457095.0,1559308.0,1656754.0,1649473.0,06001
15353.0,16111.0,16107.0,16581.0,08003
298341.0,306124.0,306968.0,317018.0,36001
32985.0,37220.0,38390.0,38249.0,56001
92866.0,101883.0,107405.0,114919.0,51003
11361.0,10657.0,10353.0,10397.0,26001
35583.0,37279.0,37090.0,34289.0,28003
2959.0,3296.0,3385.0,3491.0,02013
5505.0,5650.0,5698.0,5235.0,02016
8254.0,7821.0,6260.0,4875.0,17003
36278.0,37175.0,37213.0,36412.0,37003
142131.0,146422.0,157613.0,156976.0,51510
5571.0,5703.0,5847.0,5696.0,40003
9512.0,9516.0,9151.0,8762.0,26003
14421.0,14152.0,13813.0,14092.0,19005
112817.0,112266.0,116143.0,121456.0,26005
72598.0,73976.0,71445.0,67452.0,24001
49391.0,48387.0,46688.0,47159.0,36003
10905.0,10974.0,11008.0,11174.0,37005
16397.0,16133.0,15157.0,14859.0,51005
1222473.0,1229172.0,1221744.0,1238177.0,42003
348646.0,360990.0,372575.0,392378.0,18003
13403.0,13212.0,12556.0,12483.0,20001
18799.0,20219.0,20944.0,21293.0,21003
104946.0,105562.0,103175.0,101348.0,39003
25528.0,25691.0,25618.0,22477.0,22003
10459.0,10027.0,9024.0,7661.0,45005
29718.0,29242.0,28520.0,28880.0,26007
1153.0,1202.0,1039.0,1616.0,06003
38039.0,37159.0,38429.0,41428.0,06005
12581.0,12764.0,12953.0,13462.0,51007
32185.0,32237.0,31775.0,31485.0,51009
13293.0,12957.0,12412.0,12565.0,28005
280389.0,298178.0,293531.0,288976.0,02020
7900.0,7962.0,7835.0,7834.0,20003
21122.0,21664.0,22409.0,24353.0,21005
179914.0,189763.0,198064.0,210478.0,45007
73382.0,75346.0,76061.0,79153.0,47001
56575.0,58084.0,57810.0,58439.0,48001
16831.0,17373.0,17503.0,18065.0,29003
13295.0,16126.0,18036.0,18610.0,48003
106765.0,107470.0,107602.0,113423.0,23001
82465.0,87433.0,87322.0,87275.0,48005
513711.0,550269.0,571275.0,598166.0,24003
326489.0,336316.0,350253.0,370349.0,27003
25243.0,26309.0,24902.0,22289.0,37007
6729.0,6531.0,6341.0,6305.0,31003
